,id,18~19_ride_id_mean,18~19_ride_id_sum
250,2077,3.191011235955056,852
251,2078,2.4065420560747666,515
252,2079,3.7641196013289036,1133
253,2080,4.282608695652174,1182
254,2081,7.063670411985019,1886
255,2082,2.0294117647058822,207
256,2083,1.6813186813186813,153
257,2084,5.572847682119205,1683
258,2085,4.295918367346939,1263
259,2086,1.0,1
260,2087,7.8017621145374445,1771
261,2088,4.67003367003367,1387
262,2089,10.77037037037037,4362
263,2090,1.5629139072847682,236
264,2091,2.85,456
265,2092,3.5441860465116277,762
266,2093,1.3,13
267,2094,3.942528735632184,686
268,2097,3.857142857142857,297
269,2098,1.1428571428571428,8
270,2099,1.3333333333333333,12
271,2100,4.942122186495177,1537
272,2103,1.510204081632653,74
273,2106,2.108433734939759,175
274,2109,1.381578947368421,105
275,2113,1.0,7
276,2114,1.0,1
277,2117,3.591549295774648,510
278,2118,1.1304347826086956,26
279,2119,2.0849056603773586,442
280,2120,1.2380952380952381,26
281,2121,2.223684210526316,169
282,2122,1.0,7
283,2123,2.0579710144927534,142
284,2124,1.4545454545454546,32
285,2125,1.1428571428571428,8
286,2126,1.7538461538461538,342
287,2127,2.3214285714285716,65
288,2128,2.0,2
289,2129,1.5161290322580645,47
290,2131,2.8038277511961724,586
291,2132,2.7604790419161676,461
292,2133,1.816326530612245,267
293,2134,1.9243027888446216,483
294,2135,1.2,12
295,2140,1.0,1
296,2142,1.0,6
297,2143,1.8333333333333333,308
298,2144,1.7540983606557377,107
299,2145,2.8757396449704142,486
300,2146,4.4,616
301,2148,1.0,5
302,2150,1.3333333333333333,12
303,2151,1.12,28
304,2152,2.0,2
305,2153,1.125,9
306,2154,1.0,7
307,2155,6.200743494423792,1668
308,2156,1.3125,21
309,2157,1.4545454545454546,16
310,2158,3.888888888888889,315
311,2159,1.1904761904761905,25
312,2162,1.0,1
313,2163,3.052023121387283,1056
314,2164,1.9603174603174602,494
315,2165,4.910828025477707,771
316,2166,4.82,482
317,2167,8.001960784313725,4081
318,2168,8.976897689768977,2720
319,2169,3.1,93
320,2170,1.8888888888888888,85
321,2171,1.2758620689655173,37
322,2172,6.9147286821705425,892
323,2173,3.008771929824561,343
324,2174,2.4635416666666665,473
325,2175,2.450381679389313,321
326,2176,2.0,320
327,2177,1.7671232876712328,129
328,2178,2.0,98
329,2179,1.4090909090909092,93
330,2180,1.8721804511278195,249
331,2181,2.2203389830508473,262
332,2182,1.5,18
333,2183,2.6777777777777776,241
334,2184,1.25,5
335,2185,1.5632183908045978,136
336,2186,4.060344827586207,942
337,2187,5.979381443298969,1160
338,2188,1.5238095238095237,32
339,2189,2.5342465753424657,185
340,2190,1.0,2
341,2191,2.628158844765343,728
342,2192,5.744186046511628,1482
343,2193,1.3428571428571427,47
344,2194,1.1395348837209303,49
345,2195,3.1,217
346,2196,1.0,2
347,2197,5.144796380090498,1137
348,2198,4.36318407960199,877
349,2199,1.4864864864864864,55
350,2200,1.0,2
351,2201,1.3,52
352,2202,1.28,32
353,2203,2.2777777777777777,369
354,2204,1.7,119
355,2205,5.5426829268292686,909
356,2206,3.042056074766355,651
357,2208,1.3636363636363635,30
358,2209,3.5495495495495497,788
359,2210,1.0,1
360,2211,1.9375,62
361,2212,2.442857142857143,171
362,2213,9.888198757763975,3184
363,2214,15.791519434628976,4469
364,2215,3.7788461538461537,786
365,2216,1.2765957446808511,60
366,2217,9.865168539325843,3512
367,2218,1.0,9
368,2220,4.183673469387755,410
369,2221,1.2142857142857142,17
370,2222,1.5294117647058822,26
371,2223,6.425287356321839,559
372,2224,5.96137339055794,1389
373,2225,1.7608695652173914,162
374,2226,1.4285714285714286,40
375,2227,1.2380952380952381,26
376,2228,5.114155251141552,1120
377,2229,2.0,54
378,2230,10.384615384615385,2160
379,2231,3.2758620689655173,285
380,2232,9.90461997019374,6646
381,2233,3.6873385012919897,1427
382,2234,1.7761194029850746,119
383,2235,1.3333333333333333,64
384,2236,7.336898395721925,1372
385,2237,8.69098712446352,4050
386,2238,13.370716510903426,4292
387,2239,14.66564417177914,4781
388,2240,1.6875,27
389,2241,2.76878612716763,958
390,2242,4.02846975088968,1132
391,2243,20.27979274611399,3914
392,2244,10.292682926829269,2110
393,2245,7.830985915492958,1112
394,2246,5.333333333333333,1344
395,2247,2.0113636363636362,177
396,2248,2.4413793103448276,354
397,2249,1.16,29
398,2250,2.5045871559633026,273
399,2251,1.71875,165
400,2252,2.7672955974842766,440
401,2253,4.4051282051282055,859
402,2254,10.185770750988143,2577
403,2255,2.5705128205128207,401
404,2256,4.207446808510638,791
405,2257,1.575221238938053,178
406,2258,5.969162995594714,1355
407,2259,4.124481327800829,994
408,2260,3.196319018404908,521
409,2261,5.660332541567696,2383
410,2262,4.723618090452261,940
411,2263,10.109848484848484,2669
412,2264,3.716577540106952,695
413,2265,3.9618320610687023,519
414,2266,3.825870646766169,769
415,2267,5.162393162393163,1208
416,2268,4.1139896373057,794
417,2269,3.807174887892377,849
418,2270,3.2379032258064515,803
419,2271,5.203007518796992,692
420,2272,3.522727272727273,310
421,2273,2.1797752808988764,388
422,2274,14.631818181818181,3219
423,2275,28.5,2736
424,2276,14.039267015706807,5363
425,2277,2.676470588235294,91
426,2278,5.577464788732394,792
427,2279,2.523076923076923,492
428,2280,1.8571428571428572,78
429,2281,5.4361702127659575,511
430,2282,2.963855421686747,246
431,2283,3.4327485380116958,1174
432,2284,5.5813953488372094,1920
433,2285,4.658682634730539,778
434,2286,5.165137614678899,563
435,2287,2.8823529411764706,245
436,2288,5.625,585
437,2289,2.5789473684210527,196
438,2290,4.665615141955836,1479
439,2291,5.905325443786983,998
440,2292,5.717741935483871,709
441,2293,4.625954198473282,606
442,2294,4.849056603773585,514
443,2295,4.095238095238095,344
444,2296,2.4237288135593222,143
445,2297,6.495614035087719,1481
446,2298,5.059633027522936,1103
447,2299,2.642599277978339,732
448,2300,5.278350515463917,1536
449,2301,14.0,2016
450,2302,6.619402985074627,887
451,2303,6.313846153846153,2052
452,2304,2.7734375,355
453,2305,6.309859154929577,2240
454,2306,6.255747126436781,2177
455,2307,4.510204081632653,442
456,2308,3.409090909090909,600
457,2309,2.131868131868132,194
458,2310,6.466386554621849,1539
459,2311,2.4594594594594597,364
460,2312,2.0789473684210527,79
461,2313,1.15,23
462,2314,1.4901960784313726,76
463,2315,2.6914893617021276,253
464,2316,5.0,530
465,2317,5.626373626373627,1536
466,2318,2.484375,159
467,2319,2.3555555555555556,106
468,2320,2.8413461538461537,591
469,2321,2.107142857142857,59
470,2322,2.0208333333333335,97
471,2323,1.744186046511628,75
472,2324,1.8372093023255813,79
473,2325,2.572769953051643,548
474,2326,1.6842105263157894,256
475,2327,1.5294117647058822,104
476,2328,4.734883720930233,1018
477,2329,1.5,3
478,2330,1.0,1
479,2333,1.0,3
480,2335,4.674418604651163,201
481,2336,1.7857142857142858,75
482,2337,7.375,354
483,2338,1.903225806451613,59
484,2340,3.2325581395348837,139
485,2341,3.4,136
486,2342,6.065217391304348,279
487,2343,3.9375,315
488,2344,6.257142857142857,438
489,2345,1.0,2
490,2346,4.367088607594937,345
491,2348,1.2545454545454546,69
492,2350,4.194444444444445,302
493,2351,1.6634615384615385,173
494,2352,1.1875,19
495,2354,3.032608695652174,558
496,2355,1.7272727272727273,57
497,2356,1.7826086956521738,41
498,2357,2.3859649122807016,136
499,2358,2.026315789473684,77
500,2359,2.057142857142857,72
501,2360,1.7727272727272727,78
502,2361,1.0,11
503,2400,1.4722222222222223,53
504,2401,3.125,125
505,2402,1.4545454545454546,48
