,route_id_weekday,18~19_ride_route_id_weekday_mean,18~19_ride_route_id_weekday_sum
361,1187_4298_3,1.0,1
362,1187_4298_5,1.0,1
363,1187_4299_0,1.0,1
364,1187_4299_5,1.0,1
365,1187_4299_6,1.0,1
366,1187_4304_0,1.0,1
367,1187_4304_1,4.0,4
368,1187_4304_3,4.0,4
369,1187_4304_5,2.5,5
370,1187_4305_0,1.0,1
371,1187_4305_1,1.5,6
372,1187_4305_2,2.6666666666666665,8
373,1187_4305_3,2.0,4
374,1187_4305_4,1.5,3
375,1187_4305_5,6.5,13
376,1187_4305_6,2.4,12
377,1187_4321_0,2.0,6
378,1187_4321_2,2.6666666666666665,8
379,1187_4321_3,2.5,5
380,1187_4321_4,2.0,2
381,1187_4321_5,1.3333333333333333,4
382,1187_4321_6,3.0,6
383,1187_4329_0,1.0,1
384,1187_4329_1,1.0,3
385,1187_4329_2,1.0,2
386,1187_4329_3,1.0,2
387,1187_4329_5,1.0,1
388,1187_4329_6,1.0,1
389,1187_4331_0,2.6,13
390,1187_4331_1,1.6,8
391,1187_4331_2,2.5,15
392,1187_4331_3,3.4,17
393,1187_4331_4,2.5,15
394,1187_4331_5,3.6,18
395,1187_4331_6,1.4,7
396,1187_4334_0,1.6,8
397,1187_4334_1,1.4,7
398,1187_4334_2,2.0,14
399,1187_4334_3,1.6,8
400,1187_4334_4,2.3333333333333335,14
401,1187_4334_5,1.5,3
402,1187_4337_0,1.0,5
403,1187_4337_1,1.25,5
404,1187_4337_2,1.6666666666666667,5
405,1187_4337_3,1.0,2
406,1187_4342_0,1.8333333333333333,11
407,1187_4342_1,2.0,8
408,1187_4342_2,1.2,6
409,1187_4342_3,2.4,12
410,1187_4342_4,1.6666666666666667,10
411,1187_4342_5,1.0,2
412,1187_4342_6,3.0,3
413,1187_4343_0,1.2,6
414,1187_4343_1,1.8333333333333333,11
415,1187_4343_2,2.3333333333333335,7
416,1187_4343_3,1.8,9
417,1187_4343_4,1.3333333333333333,4
418,1187_4343_5,2.0,6
419,1187_4343_6,2.0,6
420,1187_4495_0,1.4285714285714286,10
421,1187_4495_1,1.4285714285714286,10
422,1187_4495_2,1.4285714285714286,10
423,1187_4495_3,1.8,9
424,1187_4495_4,2.3333333333333335,14
425,1187_4495_5,2.75,11
426,1187_4515_0,1.5,6
427,1187_4515_1,1.6,8
428,1187_4515_2,1.6,8
429,1187_4515_3,2.0,8
430,1187_4515_4,1.6,8
431,1187_4515_5,1.5,6
432,1187_4515_6,1.0,1
433,1187_4529_0,1.3333333333333333,8
434,1187_4529_1,1.4,7
435,1187_4529_2,1.6666666666666667,5
436,1187_4529_3,1.6666666666666667,10
437,1187_4529_4,2.3333333333333335,14
438,1187_4529_5,1.0,3
439,1187_4529_6,1.0,1
440,1187_4530_0,2.25,9
441,1187_4530_1,1.2,6
442,1187_4530_2,1.6666666666666667,10
443,1187_4530_3,1.3333333333333333,4
444,1187_4530_4,1.5,6
445,1187_4530_5,2.4,12
446,1187_4530_6,1.0,2
447,1187_4532_0,1.6666666666666667,5
448,1187_4532_1,2.0,4
449,1187_4532_2,1.0,2
450,1187_4532_3,1.25,5
451,1187_4532_4,1.75,7
452,1187_4532_5,1.0,3
453,1187_4532_6,1.3333333333333333,4
454,1187_4533_0,2.0,6
455,1187_4533_1,1.25,5
456,1187_4533_2,1.5,6
457,1187_4533_3,1.2,6
458,1187_4533_4,2.2,11
459,1187_4533_5,1.25,5
460,1187_4533_6,1.0,2
461,1187_4536_0,1.25,5
462,1187_4536_1,1.0,3
463,1187_4536_2,1.4,7
464,1187_4536_3,1.2,6
