idx,target,m,s
6100,진월75_3267,1.435114504,564
6101,진월75_3277,2.026865672,679
6102,진월75_3279,3.45508982,2885
6103,진월75_3242,3.15625,2626
6104,진월75_3243,3.427341227,3184
6105,진월75_3244,2.289608177,1344
6106,진월75_2255,1.55105973,805
6107,진월75_2256,1.975206612,1195
6108,진월75_2258,2.872791519,2439
6109,진월75_2259,2.341642229,1597
6110,진월75_2262,2.13086771,1498
6111,진월75_2263,2.974943052,2612
6112,진월75_2264,1.555780933,767
6113,진월75_2265,1.751391466,944
6114,진월75_2266,2.287218045,1521
6115,진월75_2267,3.033873343,2060
6116,진월75_2268,2.48951049,1780
6117,진월75_2269,2.801503759,1863
6118,진월75_3215,2.329912023,1589
6119,진월75_3248,2.904682274,1737
6120,진월75_3246,1.711151737,936
6121,진월75_3287,2.07628524,1252
6122,진월75_3288,1.628820961,373
6123,진월77_2013,2.178423237,1050
6124,진월77_2014,1.391634981,366
6125,진월77_2092,1.613333333,242
6126,진월77_3229,3.099462366,1153
6127,진월77_3228,2.361757106,914
6128,진월77_2077,1.49132948,516
6129,진월77_2078,1.961702128,922
6130,진월77_3232,2.370967742,294
6131,진월77_2009,1.76744186,912
6132,진월77_2010,1.277777778,253
6133,진월77_3227,2.29109589,1338
6134,진월77_2011,1.647058824,644
6135,진월77_2012,1.066666667,64
6136,진월77_3233,1.353909465,329
6137,진월77_3234,1.078947368,41
6138,진월77_3209,2.218961625,983
6139,진월77_3210,1.840336134,657
6140,진월77_3235,1.840425532,692
6141,진월77_3236,1.894265233,1057
6142,진월77_3240,1.113207547,118
6143,진월77_3241,2.156542056,923
6144,진월77_2025,1.512048193,251
6145,진월77_2028,1.69058296,377
6146,진월77_2029,1.445086705,250
6147,진월77_2317,1.597254005,698
6148,진월77_3180,1.252475248,253
6149,진월77_3181,1.52972973,566
6150,진월77_3221,1.320588235,449
6151,진월77_3223,1.268138801,402
6152,진월77_3224,1.401656315,677
6153,진월77_2354,1.936507937,976
6154,진월77_3273,2.056338028,1022
6155,진월77_2080,2.033707865,1086
6156,진월77_2127,1.839572193,344
6157,진월77_2084,1.808118081,980
6158,진월77_2085,2.112847222,1217
6159,진월77_2290,2.252054795,822
6160,진월77_2303,1.710601719,597
6161,진월77_2305,2.105166052,1141
6162,진월77_2306,1.619164619,659
6163,진월77_2291,1.616336634,653
6164,진월77_3179,1.69212963,731
6165,진월77_3188,1.534351145,402
6166,진월77_2292,1.891509434,802
6167,진월77_2293,1.988970588,1082
6168,진월77_3242,1.481675393,566
6169,진월77_3243,1.892665474,1058
6170,진월77_2090,1.587301587,300
6171,진월77_2260,1.188888889,107
6172,진월77_2261,2.59375,747
6173,진월77_3215,1.823660714,817
6174,진월77_3248,1.69151671,658
6175,진월78_2092,1.386363636,61
6176,진월78_3147,2.136645963,688
6177,진월78_3220,2.75,121
6178,진월78_3150,1.157894737,66
6179,진월78_3209,1.507462687,303
6180,진월78_3210,1.425925926,231
6181,진월78_3235,1.514767932,359
6182,진월78_3236,1.629213483,435
6183,진월78_3240,1.277777778,161
6184,진월78_3241,1.939189189,287
6185,진월78_2245,1.045454545,23
6186,진월78_2246,1.442857143,202
6187,진월78_2352,1.972222222,142
6188,진월78_3225,1.961325967,355
6189,진월78_3226,1.25862069,146
6190,진월78_2121,1.153846154,45
6191,진월78_3157,1.655339806,341
6192,진월78_3159,1.264900662,191
6193,진월78_3160,1.039215686,53
6194,진월78_2248,1.148148148,93
6195,진월78_2252,1.1,88
6196,진월78_3163,2.05,41
6197,진월78_3164,1.243243243,92
6198,진월78_3166,4.683060109,857
6199,진월78_3242,1.278409091,225
6200,진월78_3243,1.692015209,445
6201,진월78_2255,1.166666667,42
6202,진월78_2256,1.3203125,169
6203,진월78_2258,1.563451777,308
6204,진월78_2259,1.326923077,207
6205,진월78_2260,1.178571429,99
6206,진월78_2261,1.284722222,185
6207,진월78_2262,1.514285714,265
6208,진월78_2263,1.609120521,494
6209,진월78_2266,1.643678161,143
6210,진월78_2267,1.236180905,246
6211,진월78_2268,1.22,122
6212,진월78_2269,1.502392344,314
6213,진월78_3215,1.541353383,205
6214,진월79_3228,1.892655367,1005
6215,진월79_3189,2.009090909,884
6216,진월79_3190,2.198782961,1084
6217,진월79_3149,1.23880597,83
6218,진월79_3150,1.48245614,507
6219,진월79_3209,3.419154229,2749
6220,진월79_3210,2.268630849,1309
6221,진월79_3285,2.383879781,1745
6222,진월79_3195,1.813102119,941
6223,진월79_5126,2.021959459,1197
6224,진월79_3235,2.517379679,1883
6225,진월79_3236,3.376513317,2789
6226,진월79_3151,2.079229122,971
6227,진월79_3240,1.905370844,745
6228,진월79_3241,2.669354839,1655
6229,진월79_3196,5.186813187,4720
6230,진월79_3197,1.127272727,62
6231,진월79_3198,1.570351759,625
6232,진월79_3199,1.753056235,717
6233,진월79_3212,1.80604534,717
6234,진월79_3213,2.169934641,1328
6235,진월79_3091,2.209198813,1489
6236,진월79_3093,2.031772575,1215
6237,진월79_3095,1.238095238,260
6238,진월79_3157,2.557220708,1877
6239,진월79_3159,2.338053097,1321
6240,진월79_3160,1.268292683,208
6241,진월79_3290,1.150943396,61
6242,진월79_3346,1.702439024,349
6243,진월79_4525,1.600682594,469
