idx,target,m,s
397,2042_1,2.283730159,2302
398,2246_1,3.463190184,2258
399,3108_1,4.445714286,778
400,3109_1,2.104,263
401,3110_1,3.302681992,862
402,3111_1,2.271604938,552
403,2058_1,1.823119777,1309
404,2437_1,1.384615385,36
405,2438_1,1.173913043,27
406,3274_1,1.809210526,275
407,3275_1,4.767241379,1659
408,2247_1,2.131274131,552
409,2248_1,2.582474227,1002
410,4524_1,1.291666667,93
411,4525_1,1.494845361,290
412,2167_1,4.53942953,5411
413,2168_1,5.36548913,3949
414,3080_1,3.925813008,3863
415,3081_1,3.22972973,3107
416,3078_1,3.732484076,3516
417,3079_1,3.150368034,2996
418,2290_1,2.933510638,2206
419,2303_1,4.033805889,3699
420,2304_1,1.989795918,585
421,2305_1,4.266796495,4382
422,2440_1,1.333333333,8
423,2441_1,1.625,78
424,2442_1,1.366666667,41
425,2297_1,3.042780749,1707
426,2298_1,3.150847458,1859
427,3112_1,1.62406015,216
428,3279_1,3.550488599,1090
429,3252_1,1.595238095,134
430,2173_1,1.624242424,268
431,4528_1,2.232323232,221
432,2255_1,1.878698225,635
433,2256_1,2.858299595,1412
434,2258_1,3.613333333,2439
435,2259_1,4.634493671,2929
436,2261_1,3.731529657,3586
437,2262_1,2.429824561,1385
438,2263_1,5.649937265,4503
439,2264_1,2.392376682,1067
440,2265_1,2.43768997,802
441,2266_1,3.297833935,1827
442,2267_1,5.865355522,3877
443,2268_1,3.145833333,1812
444,2269_1,4.869085174,3087
445,2315_1,2.101769912,475
446,2316_1,5.657142857,1782
447,2447_1,1.717647059,146
448,2448_1,4.392857143,492
449,2299_1,2.345890411,1370
450,2300_1,4.116192831,3330
451,2155_1,3.005366726,1680
452,2013_1,3.938134811,4265
453,2014_1,2.298998569,1607
454,2082_1,1.792626728,389
455,2083_1,1.692682927,347
456,4222_1,1.103448276,32
457,4510_1,1.975982533,905
458,4511_1,1.583577713,540
459,4513_1,2.552291422,2172
460,2077_1,2.224489796,1417
461,2078_1,3.545454545,2223
462,2009_1,5.017841971,5906
463,2010_1,3.322061192,2063
464,2076_1,2.059544658,1176
465,2011_1,3.687891441,3533
466,2186_1,2.509727626,1290
467,2270_1,2.013961606,1154
468,2045_1,1.589285714,623
469,4183_1,3.839328537,1601
470,4184_1,1.935483871,300
471,2351_1,1.490196078,152
472,2119_1,2.398,1199
473,1058_1,3.012012012,1003
474,1059_1,2.164912281,617
475,1062_1,1.559322034,92
476,1063_1,8.28,1242
477,4172_1,4.728194726,2331
478,4185_1,2.813278008,678
479,4186_1,3.793209877,1229
480,4187_1,6.340206186,2460
481,2320_1,3.446280992,1668
482,2317_1,3.698895028,2678
483,2318_1,1.789473684,238
484,1052_1,4.049586777,980
485,1053_1,2.262857143,396
486,2325_1,1.647619048,519
487,4179_1,1.913636364,421
488,1031_1,3.696275072,1290
489,1032_1,2.031358885,583
490,4191_1,4.332335329,1447
491,4192_1,2.01,402
492,2066_1,3.213567839,1279
493,2271_1,2.808900524,1073
494,2080_1,2.755862069,1998
495,2301_1,7.66518847,3457
496,2302_1,3.911917098,1510
497,2059_1,2.371019108,1489
498,2273_1,1.895890411,692
499,2084_1,4.021978022,3294
500,2085_1,4.846846847,3766
501,1033_1,2.868811881,1159
502,4193_1,6.60952381,3470
503,4311_1,1.178571429,198
504,1068_1,1.361904762,143
505,1069_1,1.791666667,43
506,2090_1,1.548507463,415
507,2205_1,3.826754386,1745
508,2278_1,4.22,1899
509,2206_1,2.373737374,1175
510,2279_1,2.451612903,1140
511,1039_1,1.823308271,485
512,1040_1,3.102150538,1154
513,2174_1,2.288782816,959
514,2175_1,1.645669291,418
515,5289_1,1.630653266,649
516,5290_1,1.572769953,670
517,5740_1,1.869158879,200
518,5742_1,5.773533424,4232
519,5743_1,4.915857605,3038
520,5767_1,6.27092511,2847
521,5768_1,3.214285714,1260
522,5273_1,6.641765705,7824
523,5274_1,5.240518962,5251
524,4023_1,2.080495356,672
525,2012_1,1.892733564,547
526,2213_1,4.139447236,3295
527,2214_1,6.050505051,4792
528,5765_1,1.472727273,162
529,5766_1,1.656779661,391
530,5296_1,3.741141732,3801
531,5297_1,2.68115942,2220
532,2191_1,2.37254902,1694
533,2192_1,5.16970547,3686
534,2079_1,2.309264305,1695
535,2081_1,3.11589896,2097
536,2228_1,2.535783366,1311
537,5745_1,12.11574697,9002
538,5700_1,2.306163022,1160
539,5701_1,7.613718412,4218
540,5727_1,2.745059289,1389
541,5728_1,4.298093588,2480
542,5702_1,2.818827709,1587
543,5703_1,5.686507937,4299
544,2233_1,3.458064516,2680
545,5311_1,2.088235294,994
546,5312_1,2.802405498,1631
547,5305_1,4.903539823,5541
548,5306_1,6.190757129,6296
549,2088_1,2.391910739,1715
550,2089_1,4.140581068,4418
551,5315_1,3.150707744,3784
552,5316_1,3.395219124,4261
553,5313_1,3.963750985,5030
554,5314_1,4.944444444,6675
555,5406_1,3.236889693,1790
556,5442_1,6.025641026,4230
557,5751_1,2.463087248,367
558,4125_1,1.625,117
559,5445_1,6.502435065,8011
560,5446_1,4.464356436,4509
561,5417_1,3.267361111,1882
562,5449_1,3.958271237,2656
563,5450_1,4.897574124,1817
564,5451_1,2.749478079,1317
565,5452_1,3.091370558,609
566,5453_1,3.022099448,1094
567,5454_1,5.399412628,3677
568,5458_1,2.628762542,786
569,5459_1,4.362790698,1876
570,5424_1,4.037924152,2023
571,5288_1,6.240109141,4574
572,5321_1,3.486583184,1949
573,2238_1,4.682574917,4219
574,2239_1,5.247685185,4534
575,2242_1,2.194785276,1431
576,6002_1,1.631578947,62
577,6003_1,1.1875,19
578,1134_1,11.81877445,9065
579,6005_1,1.111111111,10
580,6418_1,1.346153846,35
581,3189_1,2.881355932,2210
582,6007_1,1.25,30
583,6008_1,2,94
584,6011_1,1.641509434,87
585,6037_1,1.95,78
586,3209_1,6.88647343,11404
587,3210_1,2.820045558,3714
588,3195_1,3.122093023,2685
589,3235_1,3.508695652,4842
590,3236_1,6.524439333,11346
591,3009_1,2.439655172,566
592,6028_1,1.727272727,57
593,3240_1,2.470149254,2317
594,3241_1,4.766418416,7040
595,6040_1,1.733333333,26
596,6014_1,1.166666667,7
597,3212_1,3.201670644,2683
598,3213_1,2.467836257,2532
599,6044_1,1.222222222,22
600,3023_1,1.307692308,34
601,3157_1,2.006451613,933
602,3159_1,3.65326087,3361
603,3160_1,2.190839695,1435
604,3042_1,1.275862069,74
605,6015_1,1.125,18
606,6461_1,1.314285714,46
607,6462_1,1.444444444,26
608,1126_1,4.282809612,2317
609,3045_1,1.396551724,81
610,3053_1,1.294117647,22
611,3166_1,3.307901907,1214
612,3242_1,2.564770932,3247
613,6047_1,3.538461538,184
614,6018_1,1.1875,19
615,3027_1,1.404255319,66
616,6033_1,1.5,12
617,2096_1,1.2,18
618,3006_1,1.259259259,34
619,2103_1,1.379310345,120
620,2023_1,4.114613181,4308
621,2025_1,2.065808298,1444
622,2113_1,1.083333333,13
623,2117_1,2.246636771,501
624,2224_1,3.031936128,1519
625,2032_1,5.833333333,7105
626,2126_1,1.295597484,206
627,2134_1,1.44,360
628,2135_1,1.383928571,155
629,3028_1,1.357142857,19
630,3047_1,1.142857143,16
631,3075_1,1.166666667,7
632,2033_1,2.215231788,669
633,2034_1,2.391836735,586
634,2131_1,1.677871148,599
635,2036_1,2.540084388,602
636,3012_1,2.787128713,563
637,3013_1,3.148148148,510
638,3016_1,1.238095238,52
639,2164_1,1.560150376,830
640,2075_1,3.239534884,1393
641,2091_1,1.992592593,807
642,2046_1,1.511111111,272
643,2047_1,1.507352941,410
644,2128_1,1.483870968,46
645,2070_1,2.087248322,622
646,2165_1,3.956416465,1634
647,2073_1,2.494023904,626
648,2087_1,3.333333333,1960
649,2143_1,1.336,334
650,2145_1,1.971698113,627
651,2146_1,3.164122137,829
652,2148_1,1.304347826,30
653,2150_1,1.413793103,82
654,3060_1,1.690909091,186
655,2074_1,1.916932907,600
656,3228_1,4.224137931,5145
657,3190_1,2.44783715,1924
658,3150_1,1.820564516,903
659,5126_1,2.781477627,2673
660,3025_1,1.148148148,31
661,3067_1,1.901960784,97
662,3008_1,2.158878505,231
663,3019_1,1.307692308,51
664,3020_1,1,9
665,3063_1,1.452380952,61
666,3032_1,1.307692308,34
667,3034_1,2.5,200
668,3040_1,2.602739726,190
669,3044_1,1.763157895,67
670,2172_1,2.893442623,706
671,3046_1,1.090909091,12
672,3200_1,1.431372549,73
673,3201_1,1.420560748,152
674,3050_1,1.285714286,18
675,3054_1,1.981132075,210
676,3056_1,1.142857143,32
677,3167_1,2.301724138,534
678,3243_1,6.513871375,10331
679,3064_1,1.386363636,61
680,3071_1,1.62745098,83
681,3216_1,1.812144213,955
682,3004_1,1,9
683,3222_1,3.213815789,977
684,3057_1,1,15
685,6069_1,2.176470588,37
686,6103_1,1.75862069,51
687,6083_1,1,4
688,6106_1,1.076923077,14
689,6187_1,1.3125,21
690,6190_1,2.210526316,42
691,6192_1,1.2,18
692,6194_1,1,8
693,6092_1,1.444444444,13
694,4576_1,1.465753425,321
695,4214_1,2.239495798,533
696,4215_1,2.785714286,858
697,1065_1,1.133333333,17
698,1054_1,2.551724138,888
699,4309_1,1.897435897,74
700,4312_1,1.765765766,196
701,1070_1,1.0625,17
702,1071_1,1.517241379,44
703,4655_1,1.887892377,421
704,1064_1,2.520408163,247
705,4520_1,2.327759197,696
706,1055_1,3.510638298,1485
707,4310_1,1.35483871,42
708,1035_1,1.419354839,44
709,1172_1,1.571428571,33
710,1169_1,1.621621622,60
711,4004_1,2,442
712,5734_1,4.296357616,2595
713,5913_1,1.213438735,307
714,5924_1,2.975,119
715,5925_1,3.721518987,294
716,5218_1,3.881390593,1898
717,5219_1,3.243436754,1359
718,5658_1,1.854237288,547
719,5659_1,1.41025641,330
720,5901_1,3.835164835,349
721,5292_1,2.925110132,664
722,5629_1,2.045454545,180
723,5220_1,1.41509434,525
724,5221_1,1.814713896,666
725,5427_1,3.345013477,1241
726,5428_1,9.420245399,6142
727,5906_1,2.80952381,177
728,5317_1,3.408,1278
729,5318_1,3.56443299,1383
730,5014_1,4.045862413,4058
731,5015_1,2.266447368,689
732,5508_1,2.035714286,171
733,5509_1,1.612244898,79
734,5397_1,1.253968254,79
735,5930_1,2.639534884,227
736,5931_1,2.534482759,147
737,5681_1,2.375,152
738,5431_1,5.467828418,4079
739,5432_1,2.140540541,792
740,5435_1,2.044303797,646
741,4033_1,1.08,27
742,5098_1,1.980769231,309
743,5099_1,1.294117647,132
744,5936_1,4.097560976,504
745,5937_1,2.651785714,297
746,5398_1,2.654205607,284
747,5948_1,2.692307692,175
748,5100_1,4.062874251,1357
749,5101_1,4.058823529,1173
750,4617_1,3.762222222,1693
751,4638_1,2.977839335,1075
752,5928_1,2.367346939,116
753,5929_1,3.078125,197
754,5926_1,2.035087719,116
755,5927_1,2.43902439,200
756,5245_1,1.987951807,495
757,5246_1,2.61827957,974
758,5247_1,3.56092437,1695
759,5248_1,3.243362832,1466
760,5156_1,1.646551724,382
761,5157_1,3.472817133,2108
762,5160_1,3.202702703,474
763,5161_1,2,170
764,5010_1,1.746031746,330
765,5011_1,2.807643312,2204
766,5012_1,1.490039841,374
767,5735_1,3.03514377,950
