idx,name,i,r,dong_name,dist
2190,생룡,4046,금남57,생용동,북구
2191,고려중,3318,마을777,삼각동, 북구 
2192,광주은행양산동지점,4062,금남57,양산동, 북구 
2193,운천저수지,2089,첨단20,상무2동, 서구 
2194,우주선어린이공원입구,5970,선운101,장덕동,장덕동
2195,풍향삼거리,4568,문흥80,풍향동, 북구 
2196,매월종합상가입구,2094,일곡28,매월동,매월동
2197,김대중컨벤션센터,2212,상무64,치평동, 서구 
2198,마재대주아파트,2023,진월75,금호2동, 서구 
2199,월드컵경기장,2253,매월06,풍암동, 서구 
2200,체육고/폴리텍대학,4461,용전84,운암3동, 북구 
2201,송정대덕아파트,5157,첨단40,송정2동, 광산구 
2202,남광주농협,3208,지원25,주월1동, 남구 
2203,신창중,5111,송정29,신창동, 광산구 
2204,광천초교,2034,송암31,농성1동, 서구 
2205,쌍촌시영아파트,2085,송암73,상무2동, 서구 
2206,CBS방송국,2013,순환01(시청행),금호1동, 서구 
2207,광주대입구,3228,진월77,진월동, 남구 
2208,산수2동행정복지센터,1032,금호36,산수2동, 동구 
2209,국립광주과학관,4023,문흥39,오룡동,오룡동
2210,도천저수지,5765,문흥39,도천동,도천동
2211,조봉초교,3136,일곡28,봉선2동, 남구 
2212,운암3단지,4432,송정29,운암3동, 북구 
2213,조봉초교,3136,봉선76,봉선2동, 남구 
2214,대주빌라,4183,진월17,두암3동, 북구 
2215,진월대주아파트,3242,첨단95,진월동, 남구 
2216,향교,3144,진월07,구동,남구
2217,돌고개역(동),2163,문흥39,월산동, 남구 
2218,향토음식박물관,4488,첨단23,일곡동, 북구 
2219,문흥지구입구(남),4239,송암74,각화동,각화동
2220,광명하이츠후문,2177,문흥39,내방동,내방동
2221,전남여고,1129,송암74,장동,동구
2222,용연동,1104,지원52,용연동,용연동
2223,서창농협 벽진지점,2126,대촌270,벽진동,벽진동
2224,일동초교,4485,419,일곡동, 북구 
2225,월곡시장,5316,금호46,월곡1동, 광산구 
2226,다사랑병원,2360,진월75,벽진동,벽진동
2227,각화중,4576,두암81(각화초교),각화동,각화동
2228,광주고/419역사관,1004,운림54,계림1동, 동구 
2229,문화전당역,1131,수완12,서석동,서석동
2230,서구문화센터,2032,송암74,금호2동, 서구 
2231,운암중,4459,봉선27,운암3동, 북구 
2232,응암공원,5406,첨단09,첨단1동, 광산구 
2233,중흥초교,4533,1187,중흥1동, 북구 
2234,중흥2동행정복지센터,4546,419,중흥2동, 북구 
2235,서창입구,2134,대촌69,벽진동,벽진동
2236,첨단라인아파트,5417,문흥39,첨단1동, 광산구 
2237,기아자동차,2270,금호36,화정1동, 서구 
2238,동천마을1단지,4153,수완49,동천동, 서구 
2239,건국동행정복지센터,4005,금남57,본촌동,본촌동
2240,대인시장(동),1008,마을715(대촌),계림1동, 동구 
2241,첨단2동행정복지센터,5446,운림51,월계동,월계동
2242,유격훈련장,4473,용전184,일곡동, 북구 
2243,버들마을사거리,2401,마을760,상무1동, 서구 
2244,유니버시아드힐스테이트,2297,송암74,화정2동, 서구 
2245,연제외촌입구,4639,송정33,연제동,연제동
2246,무등시장입구(북),3224,진월77,주월2동, 남구 
2247,화정사거리,2295,매월26,화정2동, 서구 
2248,송원대,3161,일곡28,송하동,송하동
2249,봉선1동행정복지센터,3108,봉선76,봉선1동, 남구 
2250,호가정,5030,진곡196,하산동,광산구
2251,고내입구,4007,봉선27,월출동,월출동
2252,송화마을3단지,3278,첨단95,진월동, 남구 
2253,용산지구모아엘가에듀파크,1681,봉선37,용산동,용산동
2254,동천동행정복지센터,4145,마을799,동천동, 서구 
2255,교대금호어울림,4562,봉선27,풍향동, 북구 
2256,대성사거리,5126,진월79,월산동, 남구 
2257,광주여대,5274,마을700,우산동, 북구 
2258,광주여대,5274,마을700,우산동, 광산구 
2259,노대제,3293,금남59,노대동,노대동
2260,도산역,5008,송정98,도산동, 광산구 
2261,대우디오빌,2344,송암73,치평동, 서구 
2262,시립장애인복지관,4157,수완12,동림동, 북구 
2263,첨단2동행정복지센터,5445,금호46,월계동,월계동
2264,농성1동주민센터,2036,송암31,농성1동, 서구 
2265,지산중,4109,금남57,본촌동,본촌동
2266,코카콜라,4118,첨단30,양산동, 북구 
2267,문화초교,4178,마을788,두암2동, 북구 
2268,대성사거리,3195,송암68,백운1동, 남구 
2269,농협운천지점,2213,좌석02,치평동, 서구 
2270,4.19기념관,1005,용봉83,계림1동, 동구 
2271,무등시장입구(남),3222,순환01(시청행),주월2동, 남구 
2272,운암우미아파트,4456,송암72,운암3동, 북구 
2273,용산지구대성베르힐,1684,봉선37,용산동,용산동
2274,풍암우미아파트,2263,송암47,풍암동, 서구 
2275,도로교통공단 대신파크,4380,일곡28,용봉동, 북구 
2276,한국은행,2241,지원25,치평동, 서구 
2277,상무대우아파트,2217,상무62(상무역행),치평동, 서구 
2278,문화예술회관,4442,금남58,운암2동, 북구 
2279,운리마을,2249,진월17,풍암동, 서구 
2280,일곡사거리,4475,일곡38,일곡동, 북구 
2281,박물관입구,4206,첨단95,운암3동, 북구 
2282,호남삼육고입구,3216,마을715(대촌),주월1동, 남구 
2283,전남대사거리(서),4351,송암72,신안동, 북구 
2284,주월중입구,3217,일곡28,주월1동, 남구 
2285,산정중입구,5566,선운101,산정동,산정동
2286,도산동행정복지센터,5014,진곡196,도산동, 광산구 
2287,농산물공판장,4217,518,각화동,각화동
2288,신흥맨션,4182,금남55,두암2동, 북구 
2289,신흥맨션,4182,마을788,두암2동, 북구 
2290,광주여대,5274,마을720,우산동, 북구 
2291,광주여대,5274,마을720,우산동, 광산구 
2292,신창용수마을,5189,수완12,신창동, 광산구 
2293,첨단2동행정복지센터,5446,첨단94,월계동,월계동
2294,동진맨션,1019,금남55,계림2동, 동구 
2295,대인시장(서),1116,마을715(대촌),대인동,대인동
2296,평호동,5026,진곡196,복룡동,광산구
2297,모아제일아파트,2064,선운14,상무1동, 서구 
2298,아리랑고개,5214,첨단20,신촌동,신촌동
2299,수완현진에버빌1차,5702,문흥39,수완동, 광산구 
2300,목련마을6단지,5296,첨단40,운남동, 광산구 
2301,동천마을1단지,4153,첨단22,동천동, 서구 
2302,광주남초교,1093,지원152(능주역),지원1동, 동구 
2303,전남공무원교육원,4211,운림54,매곡동, 북구 
2304,백운광장,3212,일곡28,주월1동, 남구 
2305,서남동행정복지센터,1049,금호36,서석동,서석동
2306,염주체육관,2310,송암74,화정4동, 서구 
