idx,i,dis_5159,dis_5745,dis_5445,dis_4475,dis_4406,dis_2002,dis_2232,dis_1130,dis_3236,time
80,1123,11.52244128,9.75583626,10.06160698,6.338504314,2.964610895,3.727208471,5.878312742,0.279978046,3.759158901,18_20
81,1126,11.41223328,9.509906019,9.774187243,6.047510645,2.684295732,3.504862319,5.694966479,0.575584096,3.936156048,18_20
82,1127,11.46866951,9.5426624,9.787586885,6.031646394,2.660317037,3.545152881,5.742560262,0.586730782,3.986596441,18_20
83,1128,11.75315577,9.83563376,10.04016206,6.183492641,2.784328894,3.845886913,6.043678364,0.507175572,4.05766904,18_20
84,1129,11.75926824,9.83488486,10.03543532,6.174253248,2.774504071,3.847071683,6.046747868,0.519386527,4.069989671,18_20
85,1130,11.58878545,9.961914388,10.31768563,6.618253994,3.241290068,3.914836767,6.022330568,0,3.569995546,18_20
86,1131,11.80601467,10.20423776,10.53940374,6.775502961,3.380988097,4.158463648,6.262860995,0.243764314,3.609896422,18_20
87,1134,11.06423742,9.390962082,9.808889911,6.291115269,2.990762975,3.338460253,5.447859814,0.578801522,3.51239311,18_20
88,1135,11.1219925,9.407300454,9.798555851,6.244945544,2.933013407,3.360732299,5.486254711,0.554840463,3.586176961,18_20
89,1136,11.13788732,9.421057314,9.808821585,6.248196992,2.933228628,3.375128789,5.501792517,0.540909901,3.592343375,18_20
90,1137,11.38792938,9.589721743,9.902841951,6.219202881,2.861641736,3.562803589,5.721383723,0.419522956,3.771104115,18_20
91,1139,11.99226743,10.79341513,11.27508951,7.59938377,4.205846127,4.728090605,6.69774058,0.993298888,3.133099,18_20
92,1141,11.83430919,10.63870183,11.14209799,7.514744128,4.131598036,4.573787697,6.535708466,0.896818184,3.050858423,18_20
93,1142,11.83753656,10.66148265,11.17258711,7.55134468,4.168690422,4.596952746,6.551640691,0.933249894,3.026037901,18_20
94,1144,12.34883876,11.57010774,12.18424809,8.570816438,5.174208645,5.524618968,7.351431137,1.961638393,2.862149525,18_20
95,1145,11.43162352,10.09715603,10.5983084,7.052543751,3.702663498,4.031737183,6.028892621,0.50353579,3.087375031,18_20
96,1146,11.80096527,10.46733844,10.91743152,7.250639639,3.865005314,4.402787477,6.4144241,0.635473403,3.225573218,18_20
97,1147,11.82865279,10.49117124,10.93591853,7.259092337,3.871312799,4.426843352,6.440880368,0.646826791,3.242987521,18_20
98,1148,12.07565056,10.65091695,11.0257833,7.242098604,3.837810832,4.592763526,6.645228123,0.709824234,3.477184444,18_20
99,1149,12.14209335,10.99335583,11.47736733,7.777398568,4.377785893,4.928282702,6.885454177,1.185526394,3.14949047,18_20
100,1150,12.1459254,11.0165005,11.50817447,7.814403252,4.415204863,4.951742316,6.901971,1.220214117,3.12749722,18_20
101,1151,12.34662186,11.30957317,11.81617671,8.103165023,4.698690119,5.246373171,7.170718047,1.524344875,3.138324454,18_20
102,1153,11.87026379,10.82137701,11.38086889,7.796243076,4.416115097,4.761730879,6.669249746,1.178175382,2.87474898,18_20
103,1154,13.94008817,12.78803863,13.07820887,8.966786919,5.582994436,6.728965215,8.738603564,2.831550019,4.445619997,18_20
104,1155,12.53092751,11.68811466,12.25551862,8.571295917,5.166178325,5.634010298,7.493954545,1.986258595,3.057571441,18_20
105,1156,12.54641238,11.69778977,12.26106688,8.570738591,5.16502408,5.643042056,7.505861172,1.988498021,3.074613745,18_20
106,1157,12.48290786,11.58886976,12.14010245,8.447671879,5.042628963,5.5317156,7.40874099,1.864358027,3.074418022,18_20
107,1158,14.66022114,13.33215337,13.47673451,9.17099109,5.848475106,7.296405029,9.369224503,3.381964341,5.196555161,18_20
108,1160,13.72155114,12.60100103,12.92598413,8.868612824,5.473784167,6.539004684,8.53405978,2.653323038,4.239268458,18_20
109,1161,13.79028482,12.66933589,12.98760356,8.916939653,5.524746142,6.607728521,8.604468303,2.719827646,4.295780474,18_20
110,1162,14.88280558,13.52176559,13.63195229,9.279036341,5.977727018,7.493212004,9.577719627,3.580765041,5.413494433,18_20
111,1163,12.7327473,11.73815131,12.21928457,8.425909404,5.013766884,5.674241823,7.598095747,1.907098211,3.356223022,18_20
112,1164,12.85803968,11.97109651,12.48482417,8.705061243,5.292760835,5.910674254,7.800523749,2.17888596,3.345488017,18_20
113,1167,13.07883643,12.06124793,12.49570733,8.613346903,5.200551818,5.995947717,7.939648898,2.178582393,3.636953816,18_20
114,1168,13.13574671,12.12986594,12.56355609,8.673413572,5.260967135,6.064594228,8.006065525,2.24668377,3.669939375,18_20
115,1171,10.94862703,9.4109668,9.90328512,6.472916415,3.196802152,3.347401578,5.402126981,0.641572587,3.285357251,18_20
116,1172,13.98761506,11.91781116,11.76895515,7.278518448,4.035936535,6.044419617,8.284868749,2.409967678,5.458742375,18_20
117,1174,16.27056377,16.35917053,17.03278458,13.12494075,9.727302633,10.35731512,12.01572535,6.729536194,6.317036847,18_20
118,1175,13.29305406,13.09773311,13.85965865,10.27360698,6.867696248,7.112481765,8.761837912,3.676683645,3.323134564,18_20
119,1177,12.75931283,11.32104318,11.60551706,7.63076135,4.219464191,5.272905524,7.346316633,1.359449874,3.875426984,18_20
120,1178,12.40164365,10.92813441,11.24015875,7.345237006,3.932245198,4.878409556,6.955143186,0.966245219,3.710701485,18_20
121,1181,12.75272846,11.33753124,11.63304201,7.668958273,4.257201641,5.287001063,7.35308355,1.375648656,3.843123923,18_20
122,1183,12.10472494,10.6309173,10.98077481,7.170344099,3.763779067,4.576951518,6.646628706,0.674562398,3.558303717,18_20
123,1679,12.84504797,12.59741741,13.3783742,9.86264228,6.466971649,6.616966676,8.262437013,3.248232902,2.910706185,18_20
124,1680,12.83251904,12.58110516,13.36169953,9.847105067,6.451714664,6.60036667,8.246614999,3.232468672,2.900357247,18_20
125,1682,12.46378639,12.37998065,13.2627183,9.899241207,6.527964281,6.450539514,8.005600773,3.287443118,2.497838417,18_20
126,1683,12.10475645,12.11412058,13.06826017,9.826883398,6.483431512,6.227676015,7.71698618,3.247566138,2.130545988,18_20
127,1684,12.20308395,12.16941157,13.09715572,9.814870506,6.462037061,6.265948,7.781105431,3.222563654,2.235585867,18_20
