,BUSSTOP_ID,BUSSTOP_NAME,NAME_E,LONGITUDE,LATITUDE,ARS_ID,NEXT_BUSSTOP
3856,8360,복구,Bokgu,126.88611028,34.97009069,도장리,
3857,8361,복령,Bokryeong,127.122725,35.066047,,
3858,8362,복령,Bokryeong,127.122642,35.065931,,
3859,8363,복림마을,Boklim maeul,127.085418,35.049779,경현리,
3860,8364,복림마을,Boklim maeul,127.085276,35.049871,복암,
3861,4282,첨단2체육공원,Cheomdan 2 Sports Park,126.86172103,35.20073281,4645,첨단휴먼시아
3862,4283,화인특장,Fine Motors,126.85990786,35.19833946,4646,첨단휴먼시아
3863,4284,화인특장,Fine Motors,126.85991045,35.19800354,4647,연제외촌입구
3864,4285,금호저수지입구,Geumho Reservoir Entrance,126.8486808,35.13268622,2433,무등교회
3865,4286,금호저수지입구,Geumho Reservoir Entrance,126.84896098,35.13303271,2434,자활촌입구
3866,4287,상무역(남),Sangmu Station(South),126.8490061,35.14604615,2435,농협운천지점
3867,4288,상무역(남),Sangmu Station(South),126.84868099,35.14615773,2436,희망가아파트
3868,4289,서구국민체육센터,SeoGu National Sports Center,126.88097745,35.12946517,2437,월드컵경기장
3869,4290,서구국민체육센터,SeoGu National Sports Center,126.8805032,35.12988816,2438,풍암우미아파트
3870,4291,월드컵경기장 정문,World cup stadium main entrance,126.87282286,35.13320672,2439,월드컵경기장
3871,4292,월드컵경기장 정문,World cup stadium main entrance,126.87259068,35.13296598,2440,풍암모아아파트
3872,4293,월드컵경기장주차장,World Cup stadium parking lot,126.877415,35.130807,2441,월드컵경기장정문
3873,4294,월드컵경기장주차장,World Cup stadium parking lot,126.87691986,35.1303671,2442,서구국민체육센터
3874,4295,유덕1교차로,Yuedok 1 intersection,126.84840328,35.16411885,2443,화니미지로
3875,4296,유덕1교차로,Yuedok 1 intersection,126.84819708,35.16423091,2444,한국은행
3876,4297,자활촌입구,Jahwalchon Entrance,126.84876932,35.13845162,2445,금호저수지입구
3877,4298,자활촌입구,Jahwalchon Entrance,126.848986,35.139165,2446,희망가아파트입구
3878,4299,화정우성아파트,Hwajeong woosung apts,126.872589,35.136774,2447,월드컵경기장정문
3879,4300,화정우성아파트,Hwajeong woosung apts,126.8726388,35.13622423,2448,화정남초교
3880,4301,희망가아파트,Huimangga Apt,126.84889546,35.14291709,2449,자활촌입구
3881,4302,희망가아파트,Huimangga Apt,126.849098,35.142363,2450,상무역(남)
3882,4258,우주선어린이공원입구,Entrance to spacecraft childrens park,126.813076,35.191026,5970,장덕농협
3883,6619,군인아파트   ,Military Apartment            ,126.99857,35.29755167,내당         ,
3884,2973,농성중흥파크,Nongseong Jungheung Park Apt.,126.892633,35.15654,2038,발산교(남)
3885,2019,백암,Baegam,126.95109167,35.02466389,6348,주도리입구
3886,1821,신갈,Shingal,127.02511111,35.24514167,6105,운암리1구
3887,8209,정리2구,Jeong-ri District 2,126.996192,34.99055,청계입구,
3888,8210,오음교,Oeumgyo,127.008739,34.976659,오산,
3889,8211,오음교,Oeumgyo,127.008763,34.976758,한천초교입구,
3890,8212,오음3구,Oeum District 3,127.03955,34.986324,오음삼거리,
3891,8213,덕곡2구,Deokgok District 2,126.890735,35.008109,신덕1구,
3892,8214,덕곡2구,Deokgok District 2,126.890727,35.008045,신성리,
3893,8215,잠정햇살마을,Jamjeong Haetsar maeul,126.961738,34.984905,능주농공단지,
3894,8216,잠정햇살마을,Jamjeong Haetsar maeul,126.961825,34.984957,능주고,
3895,8217,도곡,Dogok,126.917391,34.997774,,
3896,6738,화순부영아파트,Hwasun Buyeong Apt,126.992535,35.059528,6386,화순부영3차아파트
3897,8218,도곡,Dogok,126.917388,34.997713,천암리,
3898,8219,고인돌공원주차장,Dolmen park parking lot,126.917072,34.987116,월곡1구,
3899,8220,능주정류장,Neungju Bus Stop,126.958256,34.991521,능주사거리,
3900,8221,증동,Jeungdong,127.066455,34.883852,쌍봉사,
3901,8222,증리,Jeung-ri,127.068107,34.878353,증동,
3902,8223,묘치재,Myochijae,127.0906525,35.069645,서리,
3903,8224,묘치재,Myochijae,127.0904922,35.069599,묘치,
3904,8225,성산초소,SeongsanChoso,127.094703,35.085601,야사,
3905,8226,성산초소,SeongsanChoso,127.0945,35.085545,서리,
3906,8227,용호,Yongho,127.0760881,35.11054611,산사,
3907,8228,용호,Yongho,127.076111,35.110474,야사,
3908,8229,산사,Sansa,127.072212,35.110351,산사,
3909,8230,산사,Sansa,127.071809,35.110483,용호,
3910,8231,산사,Sansa,127.070571,35.111145,갑동,
3911,8232,산사,Sansa,127.070543,35.111111,산사,
3912,8233,삼하,Samha,127.044799,35.108115,영평,
3913,8234,삼하,Samha,127.0447769,35.1081314,안심,
3914,8235,용강마을,Yonggang maeul,127.0477448,35.1203079,인계리,
3915,8236,용강마을,Yonggang maeul,127.047693,35.12031,영평,
3916,4187,하남삼성전자사거리(북),Hanam Samsung Electronics Sageori (North),126.8053,35.202251,,
3917,6697,육판서길,Yukpan West Road,126.938809,35.086598,1677,범림사
3918,6710,문화예술위원회,Arts Council Korea,126.78213,35.02102,6443,호수공원
3919,6711,호수공원,Lake Park,126.7892227,35.0210533,6444,임시16
3920,6712,우정사업정보센터,Korea Post (Office of Postal Service),126.7943497,35.0229378,6445,
3921,6713,국립전파연구원,National Radio Research Agency,126.794171,35.0227,6446,
3922,6714,한빛1교,Hanbit 1 Bridge,126.7930527,35.0254402,6452,
3923,6715,전력로,Jeollyeok-ro,126.790637,35.028737,6448,임시7
3924,6716,혁신로,Hyeoksin-ro,126.796814,35.0304794,6449,
3925,6717,빛가람행정복지센터,Bitgaram Administration Welfare Center,126.7901001,35.0213013,6450,한전KDN
3926,6718,한전KDN,KEPCO KDN Co. Ltd,126.78267,35.02135,6451,동곡
