,route,id,weekday,route_congestion,id_congestion,weekday_congestion
47196,첨단92,5439,0,0.01760621138389196,0.039714650766609884,0.8433096471155006
47197,매월26,2109,3,0.6061749321085534,0.005110732538330494,1.0000000000000002
47198,임곡89,2197,2,0.0198844478466109,0.25574957410562177,0.900638323497531
47199,운림50,2220,0,0.3311644522208249,0.019271720613287906,0.8433096471155006
47200,지원45,1131,0,0.6124810906373594,0.022572402044293016,0.8433096471155006
47201,금호46,2192,6,0.43133395301365124,0.423232538330494,0.0
47202,228(화순전대병원),2179,1,0.03369967375653854,0.03854344122657581,0.89824962864828
47203,지원52,2171,4,0.03240563544571418,0.009795570698466781,0.896357742181541
47204,마을701,5798,1,0.011992636739752495,0.04045996592844975,0.89824962864828
47205,송정93,5487,1,0.008839557475349483,0.005749574105621806,0.89824962864828
47206,송암74,2299,0,0.29819381413235646,0.09071550255536628,0.8433096471155006
47207,지원45,1045,6,0.6124810906373594,0.151618398637138,0.0
47208,송정19,5002,2,0.3027320611660926,0.0017035775127768314,0.900638323497531
47209,일곡38,2002,6,0.3940437785918676,0.8060051107325383,0.0
47210,수완03,3208,4,0.9401097198680446,0.5064948892674617,0.896357742181541
47211,수완12,5963,1,0.5133869174549365,0.016609880749574105,0.89824962864828
47212,지원152(도웅리),1117,0,0.008602620883226712,0.09327086882453152,0.8433096471155006
47213,진곡196,6066,2,0.24925729491315363,0.00042589437819420784,0.900638323497531
47214,대촌69,2001,0,0.023529626186961198,0.4061967632027257,0.8433096471155006
47215,상무62(상무역행),5306,5,0.037764047606029125,0.6385221465076661,0.38278333132602677
47216,마을700,5924,5,0.4138735487633733,0.002342419080068143,0.38278333132602677
47217,마을700,5931,5,0.4138735487633733,0.002981260647359455,0.38278333132602677
47218,228(구151화순사평),1096,6,0.13044270690943555,0.12074105621805793,0.0
47219,첨단92,5413,2,0.01760621138389196,0.0034071550255536627,0.900638323497531
47220,지원152(도웅리),1098,4,0.008602620883226712,0.03428449744463373,0.896357742181541
47221,대촌69,2129,2,0.023529626186961198,0.001916524701873935,0.900638323497531
47222,진월77,3232,0,0.08533362494760056,0.005323679727427598,0.8433096471155006
47223,첨단94,5511,3,0.03164014799424062,0.008517887563884156,1.0000000000000002
47224,대촌270,2079,1,0.00749084148941987,0.15108603066439524,0.89824962864828
47225,석곡87,1129,3,0.06683434487032279,0.051426746166950595,1.0000000000000002
47226,첨단30,4511,2,0.4430714272695792,0.016609880749574105,0.900638323497531
47227,운림50,1101,6,0.3311644522208249,0.006281942078364565,0.0
47228,첨단92,5421,5,0.01760621138389196,0.02225298126064736,0.38278333132602677
47229,마을799,4053,3,0.028140776787504332,0.012883304940374787,1.0000000000000002
47230,마을700,5443,0,0.4138735487633733,0.06612010221465077,0.8433096471155006
47231,228(구151화순사평),2178,3,0.13044270690943555,0.018313458262350937,1.0000000000000002
47232,양산60,2001,0,0.1306067399347513,0.4061967632027257,0.8433096471155006
47233,송정197,5051,3,0.008383910182805696,0.00926320272572402,1.0000000000000002
47234,운림54,1168,1,1.0,0.019271720613287906,0.89824962864828
47235,마을720,5716,4,0.5935808409426432,0.023104770017035776,0.896357742181541
47236,두암181,6106,5,0.008711976233437222,0.0009582623509369676,0.38278333132602677
47237,송암74,2244,1,0.29819381413235646,0.023743611584327088,0.89824962864828
47238,양산60,4450,4,0.1306067399347513,0.06431005110732539,0.896357742181541
47239,용전84,2008,0,0.0700238759181293,0.21731260647359457,0.8433096471155006
47240,운림35,1166,2,0.29115861993548037,0.0024488926746166952,0.900638323497531
47241,지원45,1150,4,0.6124810906373594,0.06558773424190802,0.896357742181541
47242,지원52,1093,2,0.03240563544571418,0.1362862010221465,0.900638323497531
47243,첨단30,2033,1,0.4430714272695792,0.07761925042589439,0.89824962864828
47244,두암81(각화초교),1015,6,0.04481746769460696,0.00926320272572402,0.0
47245,임곡89,5358,5,0.0198844478466109,0.0,0.38278333132602677
47246,임곡290,5159,0,0.01075327610403339,0.433454003407155,0.8433096471155006
47247,송정19,2091,1,0.3027320611660926,0.07389267461669506,0.89824962864828
47248,매월61(칠석),1113,2,0.10778792352415843,0.08943781942078366,0.900638323497531
47249,첨단40,5006,3,0.17863196456886654,0.01948466780238501,1.0000000000000002
47250,송정19,2074,2,0.3027320611660926,0.06729131175468485,0.900638323497531
47251,상무64,2226,3,0.11883281389541984,0.026831345826235094,1.0000000000000002
47252,충효187,4290,6,0.03169482566934587,0.0037265758091993184,0.0
47253,송암73,2320,6,0.30233109154865406,0.2087947189097104,0.0
47254,마을788,4166,5,0.16638416534528952,0.12606473594548553,0.38278333132602677
47255,송정19,5217,6,0.3027320611660926,0.11435264054514481,0.0
47256,228(구151화순사평),1079,0,0.13044270690943555,0.003833049403747871,0.8433096471155006
47257,228(구151화순사평),4529,5,0.13044270690943555,0.059092844974446335,0.38278333132602677
47258,대촌69,2034,0,0.023529626186961198,0.0516396933560477,0.8433096471155006
47259,지원152(능주역),6620,2,0.10631162629631656,0.004045996592844974,0.900638323497531
47260,용봉83,4401,1,0.19282993420453096,0.17344548551959116,0.89824962864828
47261,양산60,4112,1,0.1306067399347513,0.015119250425894378,0.89824962864828
47262,수완49,1045,6,0.16642061712869302,0.151618398637138,0.0
47263,첨단40,5410,3,0.17863196456886654,0.07399914821124362,1.0000000000000002
47264,매월61(세하),2032,5,0.1021196712049137,0.542802385008518,0.38278333132602677
47265,첨단192,5199,5,0.013705870559717136,0.06910136286201023,0.38278333132602677
47266,송정96,5217,1,0.011354730530191192,0.11435264054514481,0.89824962864828
47267,첨단40,5156,6,0.17863196456886654,0.031942078364565585,0.0
47268,첨단30,5427,2,0.4430714272695792,0.04887137989778535,0.900638323497531
47269,수완49,1152,3,0.16642061712869302,0.013309199318568995,1.0000000000000002
47270,매월16,5435,3,0.3612189476370132,0.03886286201022147,1.0000000000000002
47271,송암74,1026,5,0.29819381413235646,0.3135647359454855,0.38278333132602677
47272,송암68,5740,2,0.3177137441449323,0.015438671209540034,0.900638323497531
47273,운림51,4007,1,0.6384529863123554,0.0033006814310051107,0.89824962864828
47274,두암81(무등파크),4216,2,0.06820128674795414,0.15853918228279387,0.900638323497531
47275,매월61(칠석),2099,3,0.10778792352415843,0.001916524701873935,1.0000000000000002
47276,송정96,5471,0,0.011354730530191192,0.014480408858603067,0.8433096471155006
