동명, 소재지 , 인구 수 ,,,,,,,,,,,,,
효 덕 동, 남구 ," 16,226 ",,,,,,,,,,,,,
송 암 동, 남구 ," 21,707 ",,,,,,,,,,,,,
대 촌 동, 남구 ," 6,364 ",,,,,,,,,,,,,
중흥 1동, 북구 ," 4,836 ",,,,,,,,,,,,,
중흥 2동, 북구 ," 6,942 ",,,,,,,,,,,,,
중흥 3동, 북구 ," 4,891 ",,,,,,,,,,,,,
중 앙 동, 북구 ," 3,106 ",,,,,,,,,,,,,
임     동, 북구 ," 9,202 ",,,,,,,,,,,,,
신 안 동, 북구 ," 12,496 ",,,,,,,,,,,,,
용 봉 동, 북구 ," 40,166 ",,,,,,,,,,,,,
운암 1동, 북구 ," 19,411 ",,,,,,,,,,,,,
운암 2동, 북구 ," 12,111 ",,,,,,,,,,,,,
운암 3동, 북구 ," 12,704 ",,,,,,,,,,,,,
동 림 동, 북구 ," 23,470 ",,,,,,,,,,,,,
우 산 동, 북구 ," 10,363 ",,,,,,,,,,,,,
풍 향 동, 북구 ," 5,764 ",,,,,,,,,,,,,
문 화 동, 북구 ," 21,005 ",,,,,,,,,,,,,
문흥 1동, 북구 ," 16,030 ",,,,,,,,,,,,,
문흥 2동, 북구 ," 15,834 ",,,,,,,,,,,,,
두암 1동, 북구 ," 7,830 ",,,,,,,,,,,,,
두암 2동, 북구 ," 16,113 ",,,,,,,,,,,,,
두암 3동, 북구 ," 13,452 ",,,,,,,,,,,,,
삼 각 동, 북구 ," 14,196 ",,,,,,,,,,,,,
일 곡 동, 북구 ," 30,062 ",,,,,,,,,,,,,
매 곡 동, 북구 ," 13,877 ",,,,,,,,,,,,,
오치 1동, 북구 ," 11,157 ",,,,,,,,,,,,,
오치 2동, 북구 ," 12,596 ",,,,,,,,,,,,,
석 곡 동, 북구 ," 2,542 ",,,,,,,,,,,,,
건 국 동, 북구 ," 22,977 ",,,,,,,,,,,,,
양 산 동, 북구 ," 38,383 ",,,,,,,,,,,,,
신 용 동, 북구 ," 30,071 ",,,,,,,,,,,,,
송정 1동, 광산구 ," 11,122 ",,,,,,,,,,,,,
송정 2동, 광산구 ," 6,712 ",,,,,,,,,,,,,
도 산 동, 광산구 ," 15,469 ",,,,,,,,,,,,,
신 흥 동, 광산구 ," 4,650 ",,,,,,,,,,,,,
어 룡 동, 광산구 ," 34,419 ",,,,,,,,,,,,,
우 산 동, 광산구 ," 29,523 ",,,,,,,,,,,,,
월곡 1동, 광산구 ," 12,109 ",,,,,,,,,,,,,
월곡 2동, 광산구 ," 18,121 ",,,,,,,,,,,,,
비 아 동, 광산구 ," 7,934 ",,,,,,,,,,,,,
첨단 1동, 광산구 ," 27,541 ",,,,,,,,,,,,,
첨단 2동, 광산구 ," 44,132 ",,,,,,,,,,,,,
신 가 동, 광산구 ," 18,603 ",,,,,,,,,,,,,
운 남 동, 광산구 ," 31,080 ",,,,,,,,,,,,,
수 완 동, 광산구 ," 77,884 ",,,,,,,,,,,,,
하 남 동, 광산구 ," 27,956 ",,,,,,,,,,,,,
임 곡 동, 광산구 ," 2,212 ",,,,,,,,,,,,,
동 곡 동, 광산구 ," 1,915 ",,,,,,,,,,,,,
평     동, 광산구 ," 5,218 ",,,,,,,,,,,,,
삼 도 동, 광산구 ," 2,230 ",,,,,,,,,,,,,
본 량 동, 광산구 ," 2,024 ",,,,,,,,,,,,,
신 창 동, 광산구 ," 35,158 ",,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
