,id,route,dong_name,dist
3125,2261,송암72,풍암동, 서구 
3126,5421,첨단92,첨단1동, 광산구 
3127,4157,첨단192,동림동, 북구 
3128,2163,지원52,월산동, 남구 
3129,2070,매월16,상무1동, 서구 
3130,2001,금호36,광천동, 서구 
3131,4497,운림51,임동, 북구 
3132,1167,운림35,학동, 동구 
3133,4360,지원15,오치1동, 북구 
3134,4376,금남57,용봉동, 북구 
3135,1139,운림50,학동, 동구 
3136,4356,용전184,오치1동, 북구 
3137,3210,진월177,주월1동, 남구 
3138,5279,송정29,우산동, 북구 
3139,5279,송정29,우산동, 광산구 
3140,2014,마을760,금호1동, 서구 
3141,4466,진월07,일곡동, 북구 
3142,5314,첨단20,월곡1동, 광산구 
3143,5306,마을720,운남동, 광산구 
3144,3123,봉선27,봉선2동, 남구 
3145,2077,첨단20,상무2동, 서구 
3146,5802,선운101,하남동, 광산구 
3147,2406,마을760,상무1동, 서구 
3148,5504,첨단20,하남동, 광산구 
3149,4436,마을777,운암2동, 북구 
3150,3240,마을715(대촌),진월동, 남구 
3151,3209,송암31,주월1동, 남구 
3152,3246,진월75,진월동, 남구 
3153,4431,운림51,운암3동, 북구 
3154,4193,진월17,두암3동, 북구 
3155,5736,송암72,수완동, 광산구 
3156,4342,송암72,신안동, 북구 
3157,4386,문흥80,용봉동, 북구 
3158,4411,일곡28,용봉동, 북구 
3159,1139,지원45,학동, 동구 
3160,1026,봉선27,산수1동, 동구 
3161,3091,운림50,백운2동, 남구 
3162,2091,송정19,상무1동, 서구 
3163,2002,상무64,광천동, 서구 
3164,4556,마을788,중흥3동, 북구 
3165,5176,봉선27,신창동, 광산구 
3166,1141,지원25,학동, 동구 
3167,3183,지원25,월산5동, 남구 
3168,4552,진월07,중흥2동, 북구 
3169,4153,상무62(상무역행),동천동, 서구 
3170,5273,선운101,우산동, 북구 
3171,5273,선운101,우산동, 광산구 
3172,2308,매월16,화정3동, 서구 
3173,2257,송암72,풍암동, 서구 
3174,3122,송암68,봉선2동, 남구 
3175,2220,운림50,상무1동, 서구 
3176,4556,금남55,중흥3동, 북구 
3177,4188,송암74,두암1동, 북구 
3178,2286,송암31,화정1동, 서구 
3179,4351,수완49,신안동, 북구 
3180,5573,문흥18,하남동, 광산구 
3181,5189,매월16,신창동, 광산구 
3182,4175,충효187,두암2동, 북구 
3183,2255,마을763,풍암동, 서구 
3184,3228,진월17,진월동, 남구 
3185,2254,매월06,풍암동, 서구 
3186,2252,진월75,풍암동, 서구 
3187,4455,운림51,운암1동, 북구 
3188,4638,일곡10,신용동, 북구 
3189,5172,수완12,신창동, 광산구 
3190,5194,첨단09,신창동, 광산구 
3191,4148,마을799,동림동, 북구 
3192,2247,지원45,풍암동, 서구 
3193,3241,진월77,진월동, 남구 
3194,5185,송정29,신가동, 광산구 
3195,4430,봉선37,동천동, 서구 
3196,5728,금호46,신가동, 광산구 
3197,4258,지원15,삼각동, 북구 
3198,3116,일곡28,봉선2동, 남구 
3199,4411,마을788,용봉동, 북구 
3200,2223,매월16,치평동, 서구 
3201,4209,송정29,매곡동, 북구 
3202,4431,수완49,운암3동, 북구 
3203,4400,419,용봉동, 북구 
3204,2019,진월17,금호1동, 서구 
3205,3190,대촌70,월산동, 남구 
3206,2250,송암73,풍암동, 서구 
3207,2054,매월61(세하),농성2동, 서구 
3208,3223,운림50,주월2동, 남구 
3209,3299,송암47,주월2동, 남구 
3210,4467,마을777,일곡동, 북구 
3211,1146,첨단09,학동, 동구 
3212,2310,매월16,화정4동, 서구 
3213,4450,일곡38,운암2동, 북구 
3214,5454,수완03,첨단1동, 광산구 
3215,4425,충효187,우산동, 북구 
3216,4425,충효187,우산동, 광산구 
3217,3213,진월07,주월1동, 남구 
3218,5184,마을720,신가동, 광산구 
3219,2275,수완12,농성1동, 서구 
3220,5801,선운101,하남동, 광산구 
3221,4242,문흥80,문흥2동, 북구 
3222,4455,마을777(우치공원),운암1동, 북구 
3223,3118,일곡28,봉선2동, 남구 
3224,5215,일곡38,우산동, 북구 
3225,5215,일곡38,우산동, 광산구 
3226,4253,송정29,삼각동, 북구 
3227,3242,마을715(대촌),진월동, 남구 
3228,5303,봉선37,운남동, 광산구 
3229,5745,수완03,수완동, 광산구 
3230,4566,일곡38,풍향동, 북구 
3231,4566,문흥39,풍향동, 북구 
3232,4399,금남57,용봉동, 북구 
3233,4209,문흥53,매곡동, 북구 
3234,3078,송정98,방림1동, 남구 
3235,5103,첨단20,비아동, 광산구 
3236,2081,금호46,상무2동, 서구 
3237,4170,충효187,두암2동, 북구 
3238,4526,일곡38,임동, 북구 
3239,4359,문흥80,오치1동, 북구 
3240,2293,진월77,화정2동, 서구 
3241,4333,좌석02,신안동, 북구 
3242,2261,진월17,풍암동, 서구 
3243,2088,송암73,상무2동, 서구 
3244,2213,송암73,치평동, 서구 
3245,2251,순환01(시청행),풍암동, 서구 
3246,4352,금남57,신안동, 북구 
3247,5174,첨단40,신창동, 광산구 
3248,2244,송암72,풍암동, 서구 
3249,5312,문흥18,월곡1동, 광산구 
3250,4428,양산60,운암1동, 북구 
3251,4166,봉선27,두암1동, 북구 
3252,4468,매월26,일곡동, 북구 
3253,5306,수완03,운남동, 광산구 
3254,3216,첨단95,주월1동, 남구 
3255,4237,송정19,문흥1동, 북구 
3256,4417,금남55,우산동, 북구 
3257,4417,금남55,우산동, 광산구 
3258,4249,문흥18,문흥2동, 북구 
3259,2303,송암73,화정3동, 서구 
3260,2056,지원56,농성2동, 서구 
3261,4460,문흥18,운암1동, 북구 
3262,4229,운림35,문흥1동, 북구 
3263,3221,운림50,월산5동, 남구 
3264,4077,양산60,양산동, 북구 
3265,2060,선운14,치평동, 서구 
3266,2253,매월16,풍암동, 서구 
3267,4461,송정29,운암3동, 북구 
3268,4662,마을799,일곡동, 북구 
3269,4481,용전86,일곡동, 북구 
3270,2173,금남59,양동, 서구 
3271,4370,용전86,오치2동, 북구 
3272,4662,마을777,일곡동, 북구 
3273,3318,마을777(우치공원),삼각동, 북구 
3274,5548,첨단20,하남동, 광산구 
3275,4197,진월07,매곡동, 북구 
3276,4545,두암81(각화초교),용봉동, 북구 
3277,5171,송암72,신창동, 광산구 
3278,4143,문흥39,동천동, 서구 
3279,4364,문흥53,오치1동, 북구 
3280,5014,첨단40,도산동, 광산구 
3281,2045,문흥39,농성1동, 서구 
3282,4506,운림51,임동, 북구 
3283,5274,첨단40,우산동, 북구 
3284,5274,첨단40,우산동, 광산구 
3285,5743,금호46,신가동, 광산구 
3286,4343,임곡89,신안동, 북구 
3287,2336,송암74,풍암동, 서구 
3288,1146,228(화순전대병원),학동, 동구 
3289,4247,송정19,문흥2동, 북구 
3290,2003,228(화순전대병원),광천동, 서구 
3291,2061,선운14,치평동, 서구 
3292,5177,송암72,신창동, 광산구 
3293,5406,첨단92,첨단1동, 광산구 
3294,5449,첨단40,첨단1동, 광산구 
3295,2167,봉선37,양동, 서구 
3296,5149,송정19,송정1동, 광산구 
3297,2215,상무64,치평동, 서구 
3298,5398,첨단20,비아동, 광산구 
3299,4383,마을777(우치공원),용봉동, 북구 
3300,2013,매월61(세하),금호1동, 서구 
3301,2262,송암47,풍암동, 서구 
3302,4334,임곡89,신안동, 북구 
3303,3241,마을715(대촌),진월동, 남구 
3304,3278,진월75,진월동, 남구 
3305,3200,대촌70,월산동, 남구 
3306,5008,송정33,도산동, 광산구 
3307,4447,상무64,운암2동, 북구 
