정류장아이디,정류장 명칭,정류장 유형,중앙차로 여부,노드영문명,위도,경도,수집일시,단축아이디,도시코드,도시명
KJB3849,산정초교,,,Sanjeong Elementary School,35.172706,126.801284,2021-09-16 5:01,5715,24,광주광역시
KJB3850,하남2지구,,,Hanam District 2,35.17692833,126.7961056,2021-09-16 5:01,5720,24,광주광역시
KJB3851,광주농수산물유통센터(서),,,Agricultural Products Distribution Center (West),35.184235,126.817372,2021-09-16 5:01,5730,24,광주광역시
KJB3852,광주농수산물유통센터(서),,,Agricultural Products Distribution Center (West),35.18437,126.8176217,2021-09-16 5:01,5729,24,광주광역시
KJB3853,효령동,,,Hyoyeong-dong,35.2424519,126.9164833,2021-09-16 5:01,4604,24,광주광역시
KJB3854,효령동,,,Hyoyeong-dong,35.2421639,126.9167129,2021-09-16 5:01,4605,24,광주광역시
KJB3875,빛고을CC,,,Bitgoeul CC,35.10216667,126.8998111,2021-09-16 5:01,3273,24,광주광역시
KJB3876,빛고을CC,,,Bitgoeul CC,35.10225278,126.8993139,2021-09-16 5:01,3272,24,광주광역시
KJB3877,지실,,,Jisil,35.18561111,127.0064972,2021-09-16 5:01,6434,24,광주광역시
KJB3878,지실,,,Jisil,35.18551944,127.0064444,2021-09-16 5:01,6433,24,광주광역시
KJB3879,유산교,,,Yusangyo(Bridge),35.18409722,127.0082889,2021-09-16 5:01,6436,24,광주광역시
KJB3880,유산교,,,Yusangyo(Bridge),35.18403889,127.0082278,2021-09-16 5:01,6435,24,광주광역시
KJB3881,송화마을1단지,,,Songhwa Village Apt. Complex 1,35.10899971,126.8998253,2021-09-16 5:01,3276,24,광주광역시
KJB3882,진남초교,,,Jinnam Elemantary School,35.10813957,126.902926,2021-09-16 5:01,3277,24,광주광역시
KJB3883,송화마을5단지,,,Songhwa Village Apt. Complex 5,35.106496,126.906252,2021-09-16 5:01,3274,24,광주광역시
KJB3884,송화마을5단지,,,Songhwa Village Apt. Complex 5,35.106542,126.906424,2021-09-16 5:01,3275,24,광주광역시
KJB3888,진월남양휴튼,,,Jinwol Namyang Huton Apt.,35.10822734,126.9051576,2021-09-16 5:01,3279,24,광주광역시
KJB3895,도천저수지,,,Docheon Reservoir,35.21221389,126.8278528,2021-09-16 5:01,5766,24,광주광역시
